id,udise,sch_name,sch_type,sch_mgmt,lower_class,higher_class,area,status
105,28120207506,APTWRSBOYS BHADRAGIRI,PR. UP PR. AND SECONDARY ONLY,APTWREI SOCIETY SCHOOLS,5,10,Rural,Active
106,28120207507,APTWRSGIRLS BHADRAGIRI,PR. UP PR. AND SECONDARY ONLY,APTWREI SOCIETY SCHOOLS,3,10,Rural,Active
107,28120207508,MOTHER PUBLIC SCHOOL,PRIMARY WITH UPPER PRIMARY,PVT.UNAIDED,1,7,Rural,Inactive
108,28120207601,MPPS GADDI COL GLPURAM,PRIMARY,MPP_ZPP SCHOOLS,-2,2,Rural,Active
109,28120207602,GPS GL PURAM,PRIMARY,STATE GOVT.,-2,2,Rural,Active
110,28120207603,AIDED ES CHINATALAGUDA ST,PRIMARY,PVT.AIDED,1,5,Rural,Active
111,28120207604,ZPHS GLPURAM,PR. UP PR. AND SECONDARY ONLY,MPP_ZPP SCHOOLS,3,10,Urban,Active
112,28120207605,RUSHITHAVOCATIONAL JUNIOR COLLEGE,Higher Secondary Only/Jr.College,PVT.UNAIDED,11,12,Rural,Inactive
113,28120207607,KGBV G.L.PURAM,UP. PR. SECONDARY AND HIGHER SEC,KGBVS (SSA),6,12,Rural,Active
114,28120207608,SARASWATHI VIDYA NIKETAN,PRIMARY WITH UPPER PRIMARY,PVT.UNAIDED,-2,7,Rural,Active
115,28120207609,PAVANI SCHOOL OF EDN,PRIMARY WITH UPPER PRIMARY,PVT.UNAIDED,1,7,Rural,Inactive
116,28120207615,GTWAS BHADRAGIRI,PR. UP PR. AND SECONDARY ONLY,TW DEPT. ASHRAM SCHOOLS,3,10,Rural,Active
117,28120207617,NEW LIFE MISSION UP SCHOOL,PRIMARY WITH UPPER PRIMARY,PVT.UNAIDED,-2,7,Rural,Active
118,28120207701,MPPS VATHADA,PRIMARY,MPP_ZPP SCHOOLS,1,5,Rural,Active
119,28120207702,GPSTW PULIGUDA,PRIMARY,GOVT TW DEPT.PRIMARY SCHOOLS,1,2,Rural,Active
120,28120207703,GPS TW MORAMMAGUDA,PRIMARY,GOVT TW DEPT.PRIMARY SCHOOLS,1,3,Rural,Active
121,28120207901,GPSTW KUDDA,PRIMARY,GOVT TW DEPT.PRIMARY SCHOOLS,1,5,Rural,Active
122,28120208001,GPS PENGUVA,PRIMARY,STATE GOVT.,1,5,Rural,Active
123,28120208103,MPPS CHINAGEESADA,PRIMARY,MPP_ZPP SCHOOLS,1,5,Rural,Active
124,28120208201,GPSTW PEDARAVIKONA,PRIMARY,GOVT TW DEPT.PRIMARY SCHOOLS,1,5,Rural,Inactive
