id,name,imgName,lastUpdate,applink
1,School Attendance,https://vapp-mrcglp.online/images/student_attendance.png,"September 12, 2023",https://play.google.com/store/apps/details?id=com.ap.schoolattendance&hl=en_IN&gl=US
2,IMMS,https://vapp-mrcglp.online/images/imms.png,"August 30, 2023",https://play.google.com/store/apps/details?id=com.ap.imms&hl=en&gl=US
3,Mana Badi Nadu Nedu,https://vapp-mrcglp.online/images/mbnn.jpg,"September 15, 2023",https://nadunedu.se.ap.gov.in/stmsworks/Data/STMS_P_2.8.7.apk
4,Jagananna Vidya Kanuka,https://vapp-mrcglp.online/images/jvk.png,"August 30, 2023",https://nadunedu.se.ap.gov.in/JVK/APK/JVK.apk
5,Consistance Rythem,https://vapp-mrcglp.online/images/cr.png,"August 31, 2023",https://play.google.com/store/apps/details?id=com.cr_app.vsws_cr_android_app&hl=en&gl=US
6,Academic Monitoring System,https://vapp-mrcglp.online/images/sims.jpg,"August 24, 2023",https://play.google.com/store/apps/details?id=com.ap.sims&hl=en&gl=US
