id,group_name,group_icon
1,School Attendance,https://play-lh.googleusercontent.com/v0vosIOgo7Ax3mJpCBprmjbgh3znrcuZXpWbedGfO-h-Oeq76ozawogDUPfapfVgLw=w240-h480-rw
2,IMMS,https://play-lh.googleusercontent.com/CmpqyoydSCs96ugBSNYiEy-2G4xYVBJmI0_SoqVY19-nTOMx1RFxH95BjbFUaqdAzQ=w240-h480-rw
3,Mana Badi Nadu Nedu,https://1.bp.blogspot.com/-aehppB76nU8/Xt_SBkOhBKI/AAAAAAAAFx8/0EWbTLMt6JQ4CxrgMoqQPmbkYLW7kHauwCLcBGAsYHQ/s320/IMG_20200524_082505.jpg
4,Jagananna Vidya Kanuka,https://play-lh.googleusercontent.com/YsmMchCwdDspKp2Gnanal2ZbOiXpAKirvdfREGjh2hGXgwwkbgr_SVQqrkIgSRhdDlQ
5,Consistent Rythms,https://play-lh.googleusercontent.com/7sHRBPbj7QJgviHakvCfNtzx-oI11MB10JVlH90RJJvqt7nV5AdXK8Jwx5sAlxmFutI=w240-h480-rw
6,Academic Monitoring  System,https://play-lh.googleusercontent.com/oF7acg_31tUdS0V_sQI77TBrml3KyShLuOKQmlpD1UeQGSoY3OTn86fDXo9ekUZioW4=w240-h480-rw
